,age,monthly_income,credit_utilization_ratio,loan_amount,loan_duration_months,num_late_payments,existing_loans_count,account_tenure_years,employment_type,education_level,marital_status,region,customer_financial_statement,sentiment,financial_stress_level,risk_category,default_risk
25,28,5500,0.25,12000,36,0,1,5,Salaried,Bachelor,Single,Urban,I'm diligently saving for a down payment on a flat while managing my car loan responsibly.,0.85,Low,Low Risk,0
26,22,1800,0.95,3500,12,4,2,1,Student,Bachelor,Single,Urban,"I'm barely making ends meet with my part-time job and tuition fees, hoping for a better job after graduation.",0.25,High,High Risk,1
27,42,7000,0.78,28000,48,2,3,12,Salaried,Diploma,Married,Suburban,"We're trying to keep up with bills after some unexpected medical costs, but our home improvements are almost done.",0.4,Medium,Watchlist,0
28,55,18000,0.15,45000,60,0,1,20,Self-Employed,Master,Married,Suburban,"My portfolio is growing steadily, and I enjoy the flexibility of my work, planning for early retirement.",0.95,Low,Low Risk,0
29,38,1500,0.99,8000,24,8,2,7,Unemployed,High School,Divorced,Urban,"Losing my job hit hard, and I'm struggling to find new work while my debts pile up.",0.1,High,High Risk,1
30,33,6000,0.35,15000,48,0,1,9,Salaried,Bachelor,Married,Suburban,"My family's finances are stable, and we're comfortably managing our monthly payments.",0.9,Low,Low Risk,0
31,24,3200,0.65,5000,24,1,1,2,Salaried,Bachelor,Single,Urban,"Starting my first job is exciting, but I'm still adjusting to managing all my expenses on my own.",0.65,Medium,Watchlist,0
32,48,10000,0.2,30000,60,0,2,18,Salaried,Master,Married,Suburban,We prioritize our children's future and are making steady progress towards our financial goals.,0.85,Low,Low Risk,0
33,39,4500,0.85,18000,36,3,3,10,Self-Employed,Diploma,Married,Rural,"My business has its ups and downs, but I'm confident in its long-term potential despite current cash flow challenges.",0.5,Medium,Watchlist,0
34,26,2500,0.88,6000,24,5,3,3,Salaried,High School,Single,Urban,"I feel stuck in a cycle of debt and paycheck-to-paycheck living, desperately trying to get ahead.",0.1,High,High Risk,1
35,68,4000,0.1,10000,12,0,0,20,Unemployed,Diploma,Married,Rural,"My retirement income is comfortable, and I plan my expenses carefully to enjoy my golden years.",0.95,Low,Low Risk,0
36,36,4800,0.7,15000,36,2,2,11,Salaried,Bachelor,Divorced,Suburban,"Balancing work and raising kids is tough, and sometimes bills catch me off guard, but I always prioritize my family.",0.3,Medium,Watchlist,0
37,31,15000,0.3,50000,60,0,1,6,Self-Employed,Master,Single,Urban,"My startup is really taking off, and I'm looking to invest profits back into further growth and innovation.",0.95,Low,Low Risk,0
38,45,2000,0.9,7000,12,7,4,14,Self-Employed,High School,Single,Rural,"It's hard to predict my income from month to month, and I often rely on credit to get through the slower periods.",0.2,High,High Risk,1
39,50,8500,0.6,20000,48,1,4,16,Salaried,Bachelor,Married,Suburban,We're working hard to reduce our overall debt and simplify our finances for a more comfortable future.,0.65,Medium,Watchlist,0
40,30,3800,0.75,4000,24,0,1,0,Salaried,Master,Single,Urban,"I'm just starting my life here and building my financial stability from scratch, focusing on smart choices.",0.6,Medium,Watchlist,0
41,70,2800,0.92,12000,36,6,2,19,Unemployed,High School,Divorced,Rural,"My medical costs are overwhelming my pension, and I worry constantly about how to pay for everything.",0.15,High,High Risk,1
42,40,13000,0.18,35000,60,0,2,15,Salaried,Master,Married,Suburban,"Our finances are well-managed, allowing us to invest for the future and enjoy a comfortable lifestyle.",0.95,Low,Low Risk,0
43,23,2800,0.6,3000,12,1,2,1,Salaried,Bachelor,Single,Urban,"I'm working hard to pay down my student loans, but it feels like a mountain of debt right now.",0.3,Medium,Watchlist,0
44,34,7000,0.28,20000,48,0,1,10,Self-Employed,Diploma,Married,Rural,"Business is booming, and I'm grateful for the steady work and being able to provide for my family.",0.95,Low,Low Risk,0
45,52,2200,0.98,18000,36,9,3,17,Unemployed,Diploma,Divorced,Suburban,"Losing my job after 20 years has been devastating, and I'm terrified about losing everything I've worked for.",0.05,High,High Risk,1
46,29,9000,0.12,25000,60,0,0,7,Salaried,Bachelor,Single,Urban,"I've been disciplined with my savings and investments, which is finally paying off towards my dream home.",0.95,Low,Low Risk,0
47,41,2000,0.8,8000,24,2,2,13,Student,Bachelor,Single,Urban,"It's a big gamble going back to school, but I believe it will lead to a more fulfilling and higher-paying career.",0.6,Medium,Watchlist,0
48,47,11000,0.85,40000,48,3,5,16,Salaried,Master,Married,Suburban,"My income is good, but I have a lot of financial commitments that sometimes make cash flow tight at the end of the month.",0.5,Medium,Watchlist,0
49,30,3000,0.9,10000,24,5,3,8,Salaried,Bachelor,Married,Urban,"Having a new baby brought unexpected expenses, and we're struggling with the reduced income and increased costs.",0.25,High,High Risk,1
50,23,2100,0.95,7500,24,6,2,1,Student,Bachelor,Single,Urban,"I'm barely making ends meet with my part-time job and tuition, credit cards are a constant struggle.",0.1,High,High Risk,1
51,45,7800,0.3,25000,60,0,1,12,Salaried,Master,Married,Suburban,"My finances are stable, and I'm comfortable managing my mortgage and car loan payments.",0.9,Low,Low Risk,0
52,32,4200,0.75,18000,48,2,3,7,Salaried,Bachelor,Married,Urban,We're juggling a few loans and credit card payments; it gets tight sometimes but we manage.,0.35,Medium,Watchlist,0
53,58,12000,0.15,5000,12,0,0,20,Self-Employed,Master,Divorced,Rural,"After years of hard work, my business is thriving and I'm financially secure.",0.95,Low,Low Risk,0
54,28,3500,0.88,12000,36,4,2,3,Salaried,Diploma,Single,Urban,"I'm struggling to keep up with credit card debt and my car loan, it feels overwhelming.",0.1,High,High Risk,1
55,62,2800,0.65,8000,24,1,1,18,Salaried,High School,Married,Suburban,"My pension covers most expenses, but an unexpected medical bill required a small loan.",0.45,Medium,Watchlist,0
56,39,6500,0.45,30000,60,0,2,10,Salaried,Bachelor,Married,Suburban,We're saving for our children's education and managing our mortgage comfortably.,0.9,Low,Low Risk,0
57,25,1800,1.0,4000,12,8,3,0,Unemployed,High School,Single,Urban,"I lost my job recently and now I can't even pay my basic bills, I'm completely overwhelmed.",0.05,High,High Risk,1
58,51,9500,0.2,10000,36,0,1,15,Salaried,Master,Married,Suburban,"My investments are growing, and I have more than enough to cover my current financial commitments.",0.95,Low,Low Risk,0
59,30,4800,0.55,22000,48,1,2,5,Self-Employed,Bachelor,Single,Urban,"My business is growing, but cash flow can be inconsistent, making loan repayments a bit tight sometimes.",0.4,Medium,Watchlist,0
60,42,5500,0.7,35000,60,3,4,9,Salaried,Bachelor,Married,Rural,"We have a lot of commitments, and a recent emergency has pushed us to the brink.",0.05,High,High Risk,1
61,22,1600,0.9,3000,12,5,1,0,Student,High School,Single,Urban,"Student life is expensive, and I've relied too much on credit to get by.",0.25,High,High Risk,1
62,67,3200,0.4,7000,24,0,0,19,Salaried,Diploma,Divorced,Suburban,"I'm nearing retirement and want to clear all my debts before then, living a modest but secure life.",0.7,Low,Low Risk,0
63,36,7000,0.6,40000,60,1,3,8,Salaried,Bachelor,Married,Urban,We just bought a new car and are trying to budget carefully to handle all the monthly payments.,0.45,Medium,Watchlist,0
64,49,15000,0.1,20000,36,0,1,17,Self-Employed,Master,Married,Suburban,"My business is thriving, and I have significant savings and investments for the future.",1.0,Low,Low Risk,0
65,31,3800,0.8,15000,36,3,2,6,Salaried,Diploma,Divorced,Urban,"Post-divorce, my income is lower, and managing bills on my own has become a major challenge.",0.2,High,Watchlist,1
66,55,6000,0.5,28000,60,0,2,14,Salaried,Bachelor,Married,Rural,"We are planning some home renovations, so we took out a loan, but our finances are generally well-managed.",0.8,Medium,Low Risk,0
67,29,2500,0.98,6000,24,7,3,2,Unemployed,High School,Single,Urban,"I've been out of work for months, and I'm using credit to survive, but it's not sustainable.",0.1,High,High Risk,1
68,47,8500,0.25,10000,12,0,0,16,Salaried,Master,Married,Suburban,"My family is financially secure, and I'm focused on retirement planning and investments.",0.95,Low,Low Risk,0
69,34,5000,0.68,20000,48,2,3,6,Self-Employed,Bachelor,Single,Rural,"My business income fluctuates, and some months are tougher than others to meet all loan obligations.",0.35,Medium,Watchlist,1
70,60,4000,0.55,15000,36,1,2,15,Salaried,Diploma,Divorced,Urban,"I'm managing my expenses and debt after my divorce, but it's a tight budget.",0.4,Medium,Watchlist,0
71,26,3000,0.85,10000,36,5,2,2,Salaried,Bachelor,Single,Suburban,I'm working hard but struggling with student loan payments and credit card balances.,0.25,High,High Risk,1
72,65,1800,0.7,5000,12,3,1,20,Unemployed,High School,Divorced,Rural,"My fixed income makes it hard to pay for everything, and I've had to use credit for emergencies.",0.2,High,High Risk,1
73,40,9000,0.35,45000,60,0,2,11,Salaried,Master,Married,Urban,"We are upgrading our home and took a mortgage top-up, but our overall finances are strong.",0.85,Low,Low Risk,0
74,53,7200,0.48,32000,48,1,3,13,Self-Employed,Bachelor,Married,Suburban,"My business has some seasonality, so I maintain a buffer, but typically all payments are on time.",0.85,Medium,Watchlist,0
75,25,4500,0.25,10000,36,0,1,3,Salaried,Bachelor,Single,Urban,"I'm just starting my career, but I'm diligent with my finances and saving for a down payment.",0.85,Low,Low Risk,0
76,22,1800,0.9,3000,12,3,1,1,Student,High School,Single,Urban,It's tough balancing studies and work; my credit card debt is really piling up and I missed a few payments.,0.15,High,High Risk,1
77,45,9000,0.3,25000,60,0,2,15,Salaried,Master,Married,Suburban,We manage our household budget carefully and prioritize timely payments for everything.,0.95,Low,Low Risk,0
78,38,1500,0.95,5000,24,5,2,8,Unemployed,Diploma,Divorced,Urban,Losing my job has made things impossible; I'm barely making ends meet and falling behind on everything.,0.05,High,High Risk,1
79,33,7000,0.65,15000,48,1,2,6,Self-Employed,Bachelor,Single,Urban,"My business is growing, but cash flow can be tight sometimes, leading to occasional payment delays.",0.4,Medium,Watchlist,0
80,68,3000,0.15,2000,12,0,0,20,Unemployed,High School,Married,Rural,"Living on a fixed income, but my expenses are low and I pay everything on time.",0.85,Low,Low Risk,0
81,24,3500,0.75,7000,24,2,1,2,Salaried,Bachelor,Single,Urban,"Just started my first job and am trying to get settled, but the moving costs were higher than expected.",0.45,Medium,Watchlist,0
82,52,15000,0.1,40000,60,0,1,18,Salaried,Master,Married,Suburban,"My financial planning is robust, and I maintain a strong credit profile for major investments.",0.95,Low,Low Risk,0
83,28,2500,0.85,4000,12,3,2,5,Salaried,Diploma,Single,Urban,I'm working hard but always seem to be playing catch-up with my bills; it's a constant struggle.,0.2,High,High Risk,1
84,41,5000,0.7,10000,36,1,3,10,Salaried,Bachelor,Divorced,Suburban,"Divorce has made finances tight, but I'm actively working to consolidate debt and improve my situation.",0.4,Medium,Watchlist,0
85,39,4000,0.8,12000,48,2,2,7,Self-Employed,High School,Married,Rural,"My business has good months and bad, and sometimes that impacts my ability to pay perfectly on time.",0.35,High,Watchlist,1
86,62,5500,0.05,5000,12,0,0,20,Unemployed,Diploma,Married,Suburban,"We're comfortable in retirement and only take out loans for significant purchases, always paid promptly.",0.95,Low,Low Risk,0
87,30,12000,0.18,30000,60,0,1,7,Salaried,Master,Single,Urban,"My career is thriving, and I maintain excellent credit to access the best rates on major purchases.",0.95,Low,Low Risk,0
88,36,3000,0.6,8000,24,1,2,10,Unemployed,Bachelor,Married,Suburban,"With one income, we have to be careful, and sometimes unexpected expenses push us to the limit.",0.35,Medium,Watchlist,0
89,31,2800,0.98,6000,24,6,3,6,Salaried,Diploma,Single,Urban,Raising my child alone on a tight budget means I'm constantly struggling to keep up with bills.,0.1,High,High Risk,1
90,48,8000,0.55,20000,48,0,3,12,Self-Employed,High School,Married,Rural,"Business is stable, but I frequently leverage credit for growth, keeping an eye on cash flow.",0.65,Medium,Watchlist,0
91,21,2000,0.3,1500,12,0,0,0,Salaried,High School,Single,Urban,I'm just starting out and want to build a good credit history responsibly.,0.65,Low,Low Risk,0
92,55,6000,0.82,15000,36,2,2,17,Salaried,Bachelor,Married,Suburban,"A sudden medical emergency pushed my credit cards to the limit, and I'm struggling to recover.",0.15,High,Watchlist,1
93,40,18000,0.7,50000,60,0,4,15,Salaried,Master,Married,Urban,"Despite a high income, my lifestyle expenses mean I'm always managing a significant amount of debt.",0.35,Medium,Watchlist,0
94,34,2200,0.9,3000,12,4,1,2,Salaried,Diploma,Single,Urban,It's hard to build a new life and support my family back home; I often have to borrow just to make ends meet.,0.1,High,High Risk,1
95,23,2500,0.2,2000,12,0,0,1,Student,Bachelor,Single,Suburban,"My parents help me out, so I can focus on my studies while responsibly managing my small credit line.",0.75,Low,Low Risk,0
96,58,10000,0.12,15000,24,0,1,20,Salaried,Master,Married,Rural,"We are financially secure and nearing retirement, with almost no personal debt besides our home.",0.95,Low,Low Risk,0
97,27,4000,0.45,18000,48,0,1,4,Salaried,Bachelor,Single,Suburban,"I recently got a new car, and while it's a big payment, I'm confident I can manage it alongside my other expenses.",0.7,Medium,Watchlist,0
98,65,2000,0.99,8000,36,7,2,15,Unemployed,High School,Divorced,Rural,My health issues and fixed income make it impossible to get out of debt; I'm constantly overwhelmed.,0.1,High,High Risk,1
99,43,11000,0.28,25000,60,0,2,16,Salaried,Master,Married,Urban,I strategically use credit to expand my investment portfolio while keeping a healthy financial buffer.,0.95,Low,Low Risk,0
100,28,4800,0.25,12000,36,0,1,4,Salaried,Bachelor,Single,Urban,I'm comfortably managing my salary and actively saving for future investments.,0.9,Low,Low Risk,0
101,23,1600,0.92,4000,24,4,2,2,Student,Bachelor,Single,Urban,My part-time income barely covers rent and tuition; I'm constantly worried about falling behind.,0.1,High,High Risk,1
102,45,6800,0.68,28000,60,1,3,18,Salaried,Master,Married,Suburban,"We're managing our household budget, but unexpected expenses make it difficult to save significantly.",0.4,Medium,Watchlist,1
103,52,15000,0.18,40000,60,0,2,20,Salaried,Master,Married,Urban,"My financial planning is on track, and I'm looking forward to a comfortable retirement.",0.95,Low,Low Risk,0
104,39,3500,0.85,10000,48,2,2,10,Salaried,Bachelor,Divorced,Suburban,"Adjusting to a single income has been tough, and I'm trying to stabilize my finances after the divorce.",0.25,High,Watchlist,1
105,35,6000,0.55,20000,48,1,2,7,Self-Employed,Diploma,Single,Urban,"Business has its ups and downs, so I try to be prudent, but sometimes cash flow can be tight.",0.4,Medium,Watchlist,0
106,65,3000,0.1,5000,12,0,0,20,Unemployed,High School,Married,Rural,"My pension provides a steady income, and I've paid off all major debts, enjoying my retirement.",0.95,Low,Low Risk,0
107,24,2200,0.75,8000,36,1,1,1,Salaried,Bachelor,Single,Urban,"I'm just starting my career, and student loan payments make it hard to get ahead financially.",0.35,Medium,Watchlist,1
108,41,1500,0.99,2500,12,7,1,6,Unemployed,Diploma,Divorced,Rural,"Without a job, every bill is a crisis; I'm constantly worried about eviction and food.",0.0,High,High Risk,1
109,58,19000,0.3,50000,60,0,5,20,Salaried,Master,Married,Suburban,My extensive investments and diversified income streams give me strong financial security.,0.95,Low,Low Risk,0
110,50,5500,0.4,15000,36,0,1,15,Self-Employed,High School,Married,Rural,"Though income can vary, I've always managed my farm finances carefully and have a good cushion.",0.85,Low,Low Risk,0
111,32,3000,0.7,6000,24,1,1,0,Salaried,Diploma,Single,Urban,I'm still building my credit history here and trying to get on solid financial footing.,0.4,Medium,Watchlist,1
112,21,1700,0.88,3500,24,2,1,0,Student,Bachelor,Single,Urban,"Student life is expensive; I'm trying to manage my debt, but it's hard when I don't earn much.",0.2,High,Watchlist,1
113,48,11000,0.35,35000,60,0,3,18,Salaried,Master,Married,Suburban,We're comfortable with our joint income and managing our mortgage and other loans responsibly.,0.85,Low,Low Risk,0
114,36,2800,0.95,7000,36,5,2,8,Salaried,High School,Divorced,Urban,Raising kids on a single income is incredibly stressful; I often juggle bills to avoid late fees.,0.15,High,High Risk,1
115,40,8500,0.2,20000,48,0,1,12,Salaried,Bachelor,Married,Suburban,"My career is stable, and I'm consistently contributing to my retirement and emergency funds.",0.95,Low,Low Risk,0
116,68,2000,0.9,3000,12,6,1,10,Unemployed,High School,Divorced,Rural,My medical bills and limited income make it impossible to keep up; I feel like I'm drowning.,0.05,High,High Risk,1
117,33,7500,0.6,30000,60,0,2,5,Self-Employed,Bachelor,Single,Urban,"My new business is promising, but it requires significant investment, making my personal finances a bit stretched.",0.45,Medium,Watchlist,0
118,55,5000,0.72,18000,48,2,2,20,Salaried,Diploma,Married,Suburban,"I've been at my job for years, but rising costs mean I'm using more credit than I'd like.",0.35,Medium,Watchlist,1
119,30,9000,0.28,30000,60,0,1,6,Salaried,Bachelor,Married,Urban,We're excited about our new home and meticulously tracking our budget to stay on track.,0.9,Low,Low Risk,0
120,31,1500,0.98,5000,12,3,1,5,Unemployed,Bachelor,Single,Suburban,Losing my job unexpectedly has put me in a very tight spot; I'm burning through savings.,0.15,High,High Risk,1
121,47,1500,1.0,10000,24,10,3,15,Unemployed,High School,Divorced,Rural,"I've been out of work for years, and I'm just trying to survive day-to-day, my debts are insurmountable.",0.0,High,High Risk,1
122,26,4200,0.15,8000,24,0,0,3,Salaried,Bachelor,Single,Urban,I'm careful with my spending and trying to build a strong financial foundation early in my career.,0.8,Low,Low Risk,0
123,50,16000,0.22,48000,60,0,4,20,Salaried,Master,Married,Suburban,"Our family is financially secure, and we manage our investments and expenses with ease.",0.95,Low,Low Risk,0
124,43,7200,0.78,25000,48,2,3,12,Self-Employed,Diploma,Married,Rural,"My business can be unpredictable, and while we generally do fine, there are months where it's a real squeeze.",0.4,Medium,Watchlist,1
125,32,7500,0.25,15000,36,0,1,8,Salaried,Bachelor,Married,Suburban,We are comfortably paying off our mortgage and saving steadily for our children's education.,0.95,Low,Low Risk,0
126,23,2000,0.85,3000,12,2,1,2,Student,High School,Single,Urban,Living paycheck to paycheck is exhausting; I hope to find a better job after graduation.,0.25,High,High Risk,1
127,48,12000,0.15,40000,60,0,2,18,Salaried,Master,Married,Urban,"My investment portfolio is growing well, and I'm planning for an early retirement.",0.95,Low,Low Risk,0
128,55,3500,0.75,10000,24,4,3,12,Unemployed,Diploma,Divorced,Rural,It's a struggle to keep up with bills after losing my job; I'm falling behind quickly.,0.1,High,High Risk,1
129,29,6000,0.4,8000,36,0,1,6,Self-Employed,Bachelor,Single,Urban,"My business is stable, and I'm comfortable managing my personal finances, though savings could be higher.",0.75,Medium,Watchlist,0
130,41,5000,0.6,25000,48,1,2,15,Salaried,Bachelor,Married,Suburban,We are committed to paying down our car loan but sometimes emergency expenses make it tight.,0.4,Medium,Watchlist,0
131,62,4000,0.1,5000,12,0,0,20,Salaried,High School,Divorced,Rural,"My pension provides a comfortable income, and I have very little debt remaining.",0.95,Low,Low Risk,0
132,25,3000,0.95,7000,24,3,2,3,Salaried,Diploma,Single,Urban,"My credit cards are maxed out, and I'm worried about spiraling into more debt.",0.1,High,High Risk,1
133,38,9000,0.3,20000,48,0,1,10,Salaried,Master,Married,Suburban,We are financially stable and focused on making smart investments for the future.,0.95,Low,Low Risk,0
134,68,2500,0.8,6000,12,5,1,17,Unemployed,High School,Divorced,Rural,"My retirement savings are gone due to medical bills, and I'm relying on a small fixed income.",0.1,High,High Risk,1
135,30,5500,0.5,12000,36,1,2,7,Salaried,Bachelor,Single,Urban,I'm working on paying off student loans and trying to save for a down payment on a home.,0.55,Medium,Watchlist,0
136,21,1800,0.65,1500,12,1,0,0,Student,High School,Single,Urban,"This small loan helps me cover unexpected college expenses, but I need to be careful.",0.45,Medium,Watchlist,0
137,45,10000,0.2,30000,60,0,1,15,Self-Employed,Master,Married,Suburban,"My business income is robust, allowing us to invest significantly and maintain a low debt profile.",0.95,Low,Low Risk,0
138,50,8000,0.45,18000,48,0,3,19,Salaried,Bachelor,Married,Urban,"We have several loans but manage them responsibly, ensuring all payments are on time.",0.85,Low,Low Risk,0
139,34,4500,0.7,10000,24,2,2,9,Salaried,Diploma,Divorced,Rural,"Between child support and my existing loans, it's hard to get ahead financially.",0.25,High,High Risk,1
140,27,3500,0.55,5000,36,1,1,4,Salaried,Bachelor,Single,Suburban,I'm diligently working to pay down my credit card debt and improve my credit score.,0.6,Medium,Watchlist,0
141,60,15000,0.1,20000,36,0,0,20,Salaried,Master,Married,Urban,"With retirement approaching, our focus is on maximum savings and minimal financial obligations.",0.85,Low,Low Risk,0
142,40,20000,0.35,50000,60,0,2,12,Self-Employed,Master,Married,Urban,"My business is extremely profitable, and I'm comfortable taking on large, strategic investments.",0.95,Low,Low Risk,0
143,58,2500,0.9,8000,12,6,4,10,Unemployed,High School,Single,Rural,I'm completely overwhelmed by debt and have no clear path to paying it off.,0.0,High,High Risk,1
144,33,6500,0.4,10000,36,0,1,8,Salaried,Bachelor,Married,Suburban,"We manage our finances carefully, always ensuring we have a healthy emergency fund.",0.95,Low,Low Risk,0
145,42,4000,0.8,15000,48,3,3,13,Salaried,Diploma,Married,Urban,"After some unforeseen medical expenses, we're struggling to meet all our loan obligations.",0.15,High,High Risk,1
146,26,3800,0.6,7000,24,1,1,3,Self-Employed,Bachelor,Single,Urban,"My freelance income can be inconsistent, making budgeting a constant challenge.",0.3,Medium,Watchlist,0
147,49,7000,0.5,20000,60,2,4,16,Salaried,Bachelor,Married,Suburban,"We have quite a few financial commitments, but we are managing them, albeit carefully.",0.6,Medium,Watchlist,0
148,65,3000,0.2,2000,12,0,0,20,Unemployed,High School,Married,Rural,"Our small retirement income is sufficient for our needs, and we live debt-free.",0.9,Low,Low Risk,0
149,36,9500,0.28,35000,48,0,1,10,Salaried,Master,Married,Urban,We are making significant progress on our home renovation and feel confident in our financial plan.,0.9,Low,Low Risk,0
150,25,3200,0.85,12000,36,3,2,3,Salaried,Bachelor,Single,Urban,"I'm constantly worried about making ends meet with my student loans and rent, it's a real struggle.",0.15,High,High Risk,1
151,42,8500,0.2,35000,60,0,1,15,Salaried,Master,Married,Suburban,"My finances are stable, and I'm comfortable managing my mortgage and car payments.",0.9,Low,Low Risk,0
152,30,5000,0.65,20000,48,1,3,7,Self-Employed,Bachelor,Single,Urban,"My income varies as a freelancer, so I try to be careful, but sometimes expenses catch up.",0.4,Medium,Watchlist,0
153,21,1800,0.95,5000,24,5,1,1,Student,High School,Single,Rural,"As a student, I'm barely scraping by, and my credit card is maxed out just to cover essentials.",0.1,High,High Risk,1
154,55,12000,0.1,10000,12,0,0,20,Salaried,Master,Divorced,Suburban,I've managed to build a strong financial foundation over the years and am very secure.,0.95,Low,Low Risk,0
155,38,6800,0.45,28000,60,0,2,10,Salaried,Bachelor,Married,Urban,"We're comfortable, but a new car loan would definitely stretch our budget a bit.",0.6,Medium,Watchlist,0
156,65,4000,0.3,7500,24,0,0,18,Salaried,High School,Married,Rural,"I'm retiring next year, so I'm trying to keep everything paid off before then.",0.8,Low,Low Risk,0
157,28,4000,0.75,18000,48,2,3,4,Salaried,Diploma,Single,Urban,"I'm juggling multiple debts and credit cards, and it's becoming overwhelming to keep up.",0.15,High,High Risk,1
158,50,15000,0.15,50000,60,0,1,17,Salaried,Master,Married,Suburban,"Our finances are robust, and we're planning strategically for our kids' college and retirement.",0.95,Low,Low Risk,0
159,33,2500,0.9,10000,36,4,2,5,Unemployed,High School,Divorced,Urban,Losing my job has made things impossible; I'm constantly falling behind on payments.,0.05,High,High Risk,1
160,48,7200,0.35,25000,48,0,1,14,Self-Employed,Bachelor,Married,Rural,"My business is steady, and I'm looking to expand soon while keeping my personal finances organized.",0.85,Low,Low Risk,0
161,24,2800,0.7,8000,36,1,1,2,Salaried,Diploma,Single,Urban,"I'm still learning to manage my money effectively, and big bills are often tough to handle.",0.3,Medium,Watchlist,0
162,60,6000,0.25,15000,36,0,0,19,Salaried,Bachelor,Married,Suburban,"Approaching retirement, so I'm focusing intently on building financial security and eliminating debt.",0.75,Low,Low Risk,0
